"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"SRR3500245.SRS1434647","SGRP352611","aquatic",1.42857142857143,270,1
"SRR3500239.SRS1434641","SGRP352611","aquatic",1.42857142857143,246,1
"SRR3500250.SRS1434652","SGRP352611","aquatic",1.42857142857143,345,1
"SRR3500249.SRS1434651","SGRP352611","aquatic",1.42857142857143,336,1
"SRR3500240.SRS1434642","SGRP352611","aquatic",1.42857142857143,182,1
"SRR3500242.SRS1434644","SGRP352611","aquatic",1.42857142857143,406,1
"SRR3500241.SRS1434643","SGRP352611","aquatic",1.42857142857143,218,1
"SRR027469.SRS005995","SGRP303673","aquatic",1.4505,370,1
"SRR027472.SRS005998","SGRP303673","aquatic",1.4505,361,1
"SRR027471.SRS005997","SGRP303673","aquatic",1.4505,309,1
"SRR027473.SRS005999","SGRP303673","aquatic",1.4505,370,1
"SRR027474.SRS006000","SGRP303673","aquatic",1.4505,351,1
"SRR027470.SRS005996","SGRP303673","aquatic",1.4505,330,1
"ERR969626.ERS797519","SGRP281996","aquatic;ocean",1.45777777777778,157,1
"ERR969628.ERS797521","SGRP281996","aquatic;ocean",1.45777777777778,155,1
"ERR969629.ERS797522","SGRP281996","aquatic;ocean",1.45777777777778,157,1
"ERR969627.ERS797520","SGRP281996","aquatic;ocean",1.45777777777778,113,1
"ERR969623.ERS797516","SGRP281996","aquatic;ocean",1.45777777777778,123,1
"ERR969618.ERS797511","SGRP281996","aquatic;ocean",1.45777777777778,107,1
"ERR969621.ERS797514","SGRP281996","aquatic;ocean",1.45777777777778,142,1
"ERR969630.ERS797523","SGRP281996","aquatic;ocean",1.45777777777778,168,1
"ERR969619.ERS797512","SGRP281996","aquatic;ocean",1.45777777777778,176,1
"ERR1897441.ERS1627879","SGRP251628","aquatic;lake",1.52857142857143,251,2
"ERR1897494.ERS1627932","SGRP251628","aquatic;lake",1.52857142857143,292,2
"ERR1897706.ERS1628144","SGRP251628","aquatic;lake",1.52857142857143,253,2
"ERR1897646.ERS1628084","SGRP251628","aquatic;lake",1.52857142857143,276,2
"ERR1897574.ERS1628012","SGRP251628","aquatic;lake",1.52857142857143,223,2
"ERR1897420.ERS1627858","SGRP251628","aquatic;lake",1.52857142857143,187,2
"ERR1897680.ERS1628118","SGRP251628","aquatic;lake",1.52857142857143,310,2
"ERR1897541.ERS1627979","SGRP251561","aquatic;lake",1.54,235,2
"ERR1897440.ERS1627878","SGRP251561","aquatic;lake",1.54,246,2
"ERR1897642.ERS1628080","SGRP251561","aquatic;lake",1.54,217,2
"ERR1897637.ERS1628075","SGRP251561","aquatic;lake",1.54,209,2
"ERR1897625.ERS1628063","SGRP251561","aquatic;lake",1.54,208,2
"SRR4384500.SRS1734465","SGRP386008","aquatic",1.6,246,2
"SRR4384499.SRS1734464","SGRP386008","aquatic",1.6,153,2
"SRR4384503.SRS1734468","SGRP386008","aquatic",1.6,275,2
"SRR4384502.SRS1734467","SGRP386008","aquatic",1.6,246,2
"SRR4384501.SRS1734466","SGRP386008","aquatic",1.6,321,2
"ERR1897428.ERS1627866","SGRP251463","aquatic;lake",1.6625,177,2
"ERR1897528.ERS1627966","SGRP251463","aquatic;lake",1.6625,97,2
"ERR1897672.ERS1628110","SGRP251463","aquatic;lake",1.6625,152,2
"ERR1897425.ERS1627863","SGRP251463","aquatic;lake",1.6625,141,2
"ERR1897677.ERS1628115","SGRP251463","aquatic;lake",1.6625,165,2
"ERR1897493.ERS1627931","SGRP251463","aquatic;lake",1.6625,113,2
"ERR1897629.ERS1628067","SGRP251463","aquatic;lake",1.6625,132,2
"ERR1897510.ERS1627948","SGRP251463","aquatic;lake",1.6625,82,2
"ERR1897540.ERS1627978","SGRP251463","aquatic;lake",1.6625,108,2
"ERR1897473.ERS1627911","SGRP251463","aquatic;lake",1.6625,154,2
"SRR4241978.SRS1690915","SGRP330808","aquatic",1.66666666666667,283,2
"SRR3500214.SRS1434489","SGRP330808","aquatic",1.66666666666667,191,2
"SRR3500160.SRS1434427","SGRP330808","aquatic",1.66666666666667,166,2
"SRR3500127.SRS1434763","SGRP330808","aquatic",1.66666666666667,141,2
"SRR3500225.SRS1434500","SGRP330808","aquatic",1.66666666666667,250,2
"SRR3500201.SRS1434476","SGRP330808","aquatic",1.66666666666667,158,2
"SRR3500253.SRS1434655","SGRP330808","aquatic",1.66666666666667,187,2
"SRR3500202.SRS1434477","SGRP330808","aquatic",1.66666666666667,43,2
"SRR3500236.SRS1434511","SGRP330808","aquatic",1.66666666666667,244,2
"SRR3500194.SRS1434469","SGRP330808","aquatic",1.66666666666667,113,2
"SRR3500234.SRS1434508","SGRP330808","aquatic",1.66666666666667,172,2
"SRR3500216.SRS1434491","SGRP330808","aquatic",1.66666666666667,256,2
"SRR3500224.SRS1434499","SGRP330808","aquatic",1.66666666666667,222,2
"SRR3500226.SRS1434501","SGRP330808","aquatic",1.66666666666667,252,2
"SRR3500254.SRS1434656","SGRP330808","aquatic",1.66666666666667,159,2
"SRR3500192.SRS1434467","SGRP330808","aquatic",1.66666666666667,89,2
"SRR3500215.SRS1434490","SGRP330808","aquatic",1.66666666666667,252,2
"SRR4241980.SRS1690917","SGRP330808","aquatic",1.66666666666667,203,2
"SRR3500213.SRS1434488","SGRP330808","aquatic",1.66666666666667,180,2
"SRR4241981.SRS1690918","SGRP330808","aquatic",1.66666666666667,640,2
"SRR3500195.SRS1434471","SGRP330808","aquatic",1.66666666666667,120,2
"SRR3500217.SRS1434492","SGRP330808","aquatic",1.66666666666667,301,2
"SRR3500198.SRS1434473","SGRP330808","aquatic",1.66666666666667,297,2
"SRR3500229.SRS1434504","SGRP330808","aquatic",1.66666666666667,191,2
"SRR4241972.SRS1690909","SGRP330808","aquatic",1.66666666666667,402,2
"SRR3500205.SRS1434480","SGRP330808","aquatic",1.66666666666667,209,2
