"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR1583230.SRS707215","SRS707215","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,698,6,"temperate",23
"SRR1583227.SRS707212","SRS707212","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,709,6,"temperate",23
"SRR1583223.SRS707208","SRS707208","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,1179,7,"temperate",33
"SRR1583218.SRS707203","SRS707203","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,1232,7,"temperate",33
"SRR1583219.SRS707204","SRS707204","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,1283,7,"temperate",33
"SRR1583220.SRS707205","SRS707205","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,806,7,"temperate",33
"SRR1583216.SRS707201","SRS707201","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,1708,7,"temperate",33
"SRR1583217.SRS707202","SRS707202","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,802,7,"temperate",33
"SRR1583215.SRS707200","SRS707200","SGRP262757","aquatic","AMPLICON",6.6,39.99026,8,205,1948,7,"temperate",33
"ERR1897192.ERS1627630","ERS1627630","SGRP251494","aquatic;lake","AMPLICON",7.175,53.167,8.31285714285714,10.8571428571429,840,7,"temperate",33
"ERR1897377.ERS1627815","ERS1627815","SGRP251700","aquatic;lake","AMPLICON",7.23125,53.1,8.40375,13.3333333333333,948,7,"temperate",33
"ERR1897382.ERS1627820","ERS1627820","SGRP251700","aquatic;lake","AMPLICON",7.23125,53.167,8.40375,13.3333333333333,798,7,"temperate",33
"ERR1897043.ERS1627481","ERS1627481","SGRP251700","aquatic;lake","AMPLICON",7.23125,53.167,8.40375,13.3333333333333,976,7,"temperate",33
"ERR1896661.ERS1627099","ERS1627099","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1541,7,"temperate",33
"ERR1897470.ERS1627908","ERS1627908","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.1,7.97904761904762,33.9166666666667,1765,7,"temperate",33
"ERR1896639.ERS1627077","ERS1627077","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1251,7,"temperate",33
"ERR1896702.ERS1627140","ERS1627140","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1146,7,"temperate",33
"ERR1896673.ERS1627111","ERS1627111","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1313,7,"temperate",33
"ERR1897274.ERS1627712","ERS1627712","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1299,7,"temperate",33
"ERR1896692.ERS1627130","ERS1627130","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1370,7,"temperate",33
"ERR1897216.ERS1627654","ERS1627654","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1253,7,"temperate",33
"ERR1896662.ERS1627100","ERS1627100","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1296,7,"temperate",33
"ERR1897291.ERS1627729","ERS1627729","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1602,7,"temperate",33
"ERR1897407.ERS1627845","ERS1627845","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.1,7.97904761904762,33.9166666666667,1639,7,"temperate",33
"ERR1896640.ERS1627078","ERS1627078","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1396,7,"temperate",33
"ERR1897386.ERS1627824","ERS1627824","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1306,7,"temperate",33
"ERR1896668.ERS1627106","ERS1627106","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1028,7,"temperate",33
"ERR1896703.ERS1627141","ERS1627141","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1825,7,"temperate",33
"ERR1897259.ERS1627697","ERS1627697","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1495,7,"temperate",33
"ERR1897284.ERS1627722","ERS1627722","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1726,7,"temperate",33
"ERR1897238.ERS1627676","ERS1627676","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1241,7,"temperate",33
"ERR1896677.ERS1627115","ERS1627115","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1209,7,"temperate",33
"ERR1897330.ERS1627768","ERS1627768","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1165,7,"temperate",33
"ERR1897486.ERS1627924","ERS1627924","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.1,7.97904761904762,33.9166666666667,1361,7,"temperate",33
"ERR1897126.ERS1627564","ERS1627564","SGRP251514","aquatic;lake","AMPLICON",7.47272727272727,53.167,7.97904761904762,33.9166666666667,1670,7,"temperate",33
"SRR3669600.SRS1505176","SRS1505176","SGRP125616","aquatic","AMPLICON",7.51015454545455,43.7891,NA,258.333333333333,612,8,"temperate",34
"SRR3669411.SRS1505186","SRS1505186","SGRP125616","aquatic","AMPLICON",7.51015454545455,46.4161,NA,258.333333333333,672,8,"temperate",34
"SRR3669424.SRS1505199","SRS1505199","SGRP125616","aquatic","AMPLICON",7.51015454545455,47.5832,NA,258.333333333333,617,8,"temperate",34
"SRR3669402.SRS1505176","SRS1505176","SGRP125616","aquatic","AMPLICON",7.51015454545455,43.7891,NA,258.333333333333,647,8,"temperate",34
"SRR3669673.SRS1505226","SRS1505226","SGRP2396","aquatic","AMPLICON",7.62266428571428,42.7603,NA,43.3823529411765,755,8,"temperate",34
"SRR3669637.SRS1505207","SRS1505207","SGRP2396","aquatic","AMPLICON",7.62266428571428,44.1303,NA,43.3823529411765,772,8,"temperate",34
